# y+ ()         
# Time          	patch           	min             	max             	average         
0.005           	airfoil	1.35633909e-08	1.32414894e-05	1.23509974e-06
0.01            	airfoil	2.90984395e-06	3.88437640e-04	6.62950894e-05
0.015           	airfoil	9.83515783e-07	4.11197250e-04	3.51903492e-05
0.02            	airfoil	9.63635159e-07	1.95491981e-04	2.67056206e-05
0.025           	airfoil	1.10305388e-06	2.25314270e-04	2.87355242e-05
0.03            	airfoil	8.38178387e-07	2.43725210e-04	2.98103597e-05
0.035           	airfoil	1.03921427e-06	2.40437147e-04	3.03237367e-05
0.04            	airfoil	4.20034342e-07	2.50596574e-04	3.39362501e-05
0.045           	airfoil	4.30591428e-07	2.54062273e-04	3.67541270e-05
0.05            	airfoil	6.13517660e-07	2.58078865e-04	3.96281535e-05
0.055           	airfoil	3.66549655e-07	2.68975811e-04	4.26414767e-05
0.06            	airfoil	8.11230082e-07	2.86462176e-04	4.55614856e-05
0.065           	airfoil	1.02144422e-06	3.13450721e-04	4.82907513e-05
0.07            	airfoil	1.21961410e-06	2.87224832e-04	5.07746144e-05
0.075           	airfoil	1.19021064e-06	2.95158414e-04	5.30508918e-05
0.08            	airfoil	6.12956521e-07	2.78037681e-04	5.55250253e-05
0.085           	airfoil	4.51497105e-07	2.83725970e-04	5.83646254e-05
0.09            	airfoil	2.80090097e-06	3.01669815e-04	6.15193719e-05
0.095           	airfoil	1.67071740e-06	3.13835899e-04	6.49662665e-05
0.1             	airfoil	3.45709940e-06	3.36714363e-04	6.88723448e-05
0.105           	airfoil	4.72222731e-06	3.60802640e-04	7.27104828e-05
0.11            	airfoil	3.21270894e-06	3.85563870e-04	7.62354965e-05
0.115           	airfoil	1.09326571e-06	4.10986903e-04	7.95449921e-05
0.12            	airfoil	6.33995185e-06	4.36979331e-04	8.26934463e-05
0.125           	airfoil	5.00172560e-06	4.63520374e-04	8.57512851e-05
0.13            	airfoil	2.70378703e-06	4.90621207e-04	8.85665323e-05
0.135           	airfoil	1.94228734e-06	5.18304058e-04	9.13833587e-05
0.14            	airfoil	2.41253422e-06	5.46644037e-04	9.44292265e-05
0.145           	airfoil	2.95189130e-06	5.75722984e-04	9.76693755e-05
0.15            	airfoil	5.25499292e-06	6.05606523e-04	1.01212922e-04
0.155           	airfoil	8.16006223e-06	6.36465951e-04	1.05011339e-04
0.16            	airfoil	8.31833761e-06	6.69504195e-04	1.08795746e-04
0.165           	airfoil	8.44516622e-06	7.03625186e-04	1.12311531e-04
0.17            	airfoil	8.59836434e-06	7.38891232e-04	1.15634905e-04
0.175           	airfoil	8.73548033e-06	7.75355614e-04	1.18807831e-04
0.18            	airfoil	4.73946622e-06	8.13050811e-04	1.21830526e-04
0.185           	airfoil	9.06313923e-06	8.51976384e-04	1.24839003e-04
0.19            	airfoil	9.17341394e-06	8.92103792e-04	1.27767424e-04
0.195           	airfoil	9.34308505e-06	9.33378988e-04	1.30766243e-04
0.2             	airfoil	9.40781248e-06	9.75723037e-04	1.33661040e-04
0.205           	airfoil	9.44804648e-06	1.01904028e-03	1.36526591e-04
0.21            	airfoil	9.53300723e-06	1.06321769e-03	1.39447789e-04
0.215           	airfoil	9.65846144e-06	1.10651234e-03	1.42292945e-04
0.22            	airfoil	9.79834645e-06	1.14829926e-03	1.45109145e-04
0.225           	airfoil	1.00262280e-05	1.18921263e-03	1.47885363e-04
0.23            	airfoil	1.02311624e-05	1.22954086e-03	1.50705779e-04
0.235           	airfoil	1.04351383e-05	1.27376917e-03	1.53538080e-04
0.24            	airfoil	1.04152939e-05	1.31904750e-03	1.56399321e-04
0.245           	airfoil	1.05762101e-05	1.36425103e-03	1.59232085e-04
0.25            	airfoil	1.08329628e-05	1.40928557e-03	1.62066939e-04
0.255           	airfoil	1.05627440e-05	1.45409932e-03	1.64850731e-04
0.26            	airfoil	1.06849376e-05	1.49859565e-03	1.67714031e-04
0.265           	airfoil	1.08561990e-05	1.54273663e-03	1.70557033e-04
0.27            	airfoil	6.63518760e-06	1.58648102e-03	1.73395084e-04
0.275           	airfoil	1.13501520e-05	1.62980922e-03	1.76293355e-04
0.28            	airfoil	1.14017803e-05	1.67270743e-03	1.79168494e-04
0.285           	airfoil	1.16369829e-05	1.71512805e-03	1.82045074e-04
0.29            	airfoil	1.17823118e-05	1.75190216e-03	1.84954232e-04
0.295           	airfoil	1.20746969e-05	1.78511643e-03	1.87856353e-04
0.3             	airfoil	5.19211520e-06	1.81604059e-03	1.90738529e-04
0.305           	airfoil	1.20236244e-05	1.84529580e-03	1.93695269e-04
0.31            	airfoil	1.21930595e-05	1.87321543e-03	1.96681780e-04
0.315           	airfoil	1.21391874e-05	1.89998134e-03	1.99699244e-04
0.32            	airfoil	1.23987025e-05	1.92567197e-03	2.02705928e-04
0.325           	airfoil	7.97462942e-06	1.95035063e-03	2.05688751e-04
0.33            	airfoil	1.26397301e-05	1.97404964e-03	2.08703818e-04
0.335           	airfoil	1.04811014e-05	2.00569284e-03	2.11705518e-04
0.34            	airfoil	1.16020911e-05	2.04207795e-03	2.14748592e-04
0.345           	airfoil	1.30651399e-05	2.07814983e-03	2.17811264e-04
0.35            	airfoil	1.32329204e-05	2.11351451e-03	2.20823651e-04
0.355           	airfoil	1.00592973e-05	2.14091427e-03	2.23810734e-04
0.36            	airfoil	4.21099315e-06	2.16379024e-03	2.26779442e-04
0.365           	airfoil	1.82904833e-06	2.18407639e-03	2.29785105e-04
0.37            	airfoil	2.77365669e-06	2.20276864e-03	2.33072659e-04
0.375           	airfoil	2.00168133e-06	2.22035604e-03	2.36455182e-04
0.38            	airfoil	2.19389425e-06	2.23707187e-03	2.39825897e-04
0.385           	airfoil	4.39342418e-06	2.25303994e-03	2.43225167e-04
0.39            	airfoil	2.94387722e-06	2.26832882e-03	2.46625760e-04
0.395           	airfoil	6.13056718e-06	2.28298967e-03	2.50029473e-04
0.4             	airfoil	5.33986706e-06	2.29705498e-03	2.53420343e-04
0.405           	airfoil	7.78320695e-07	2.31055748e-03	2.56801862e-04
0.41            	airfoil	3.30826703e-06	2.32352754e-03	2.60207818e-04
0.415           	airfoil	2.70320020e-06	2.33598045e-03	2.63570876e-04
0.42            	airfoil	4.57391296e-06	2.34794258e-03	2.66950768e-04
0.425           	airfoil	6.19409185e-06	2.36133223e-03	2.70300186e-04
0.43            	airfoil	4.30333141e-06	2.37812597e-03	2.73615715e-04
0.435           	airfoil	4.84995561e-06	2.39151029e-03	2.76933648e-04
0.44            	airfoil	2.74970686e-06	2.40309100e-03	2.80229056e-04
0.445           	airfoil	1.06947915e-05	2.41363869e-03	2.83519294e-04
0.45            	airfoil	5.81527223e-06	2.42350399e-03	2.86767730e-04
0.455           	airfoil	3.19707774e-06	2.43287491e-03	2.89990762e-04
0.46            	airfoil	7.71175111e-06	2.44182684e-03	2.93206257e-04
0.465           	airfoil	3.44564444e-06	2.45042437e-03	2.96495188e-04
0.47            	airfoil	5.61755535e-06	2.45869411e-03	2.99729430e-04
0.475           	airfoil	3.16122358e-06	2.46665517e-03	3.02926592e-04
0.48            	airfoil	5.23625284e-06	2.47433942e-03	3.06126354e-04
0.485           	airfoil	7.31977851e-06	2.48174029e-03	3.09354966e-04
0.49            	airfoil	4.37136025e-06	2.48887825e-03	3.12540865e-04
0.495           	airfoil	4.33164060e-06	2.49576984e-03	3.15683138e-04
0.5             	airfoil	1.08552299e-05	2.50242441e-03	3.18813145e-04
0.505           	airfoil	5.10240077e-06	2.50885206e-03	3.21914920e-04
0.51            	airfoil	6.35292043e-06	2.51506394e-03	3.25021929e-04
0.515           	airfoil	8.43181317e-06	2.52106921e-03	3.28126225e-04
0.52            	airfoil	9.34176736e-06	2.52687938e-03	3.31228799e-04
0.525           	airfoil	3.56682115e-06	2.53249930e-03	3.34331846e-04
0.53            	airfoil	5.03937249e-06	2.53793859e-03	3.37469837e-04
0.535           	airfoil	9.76926997e-06	2.54320926e-03	3.40592264e-04
0.54            	airfoil	2.85949776e-06	2.54831656e-03	3.43714498e-04
0.545           	airfoil	7.54973064e-06	2.55326775e-03	3.46868736e-04
0.55            	airfoil	1.02802967e-05	2.55807007e-03	3.49997788e-04
0.555           	airfoil	4.19340632e-06	2.56272985e-03	3.53106992e-04
0.56            	airfoil	4.32931833e-06	2.56725560e-03	3.56242902e-04
0.565           	airfoil	9.27336427e-06	2.57165351e-03	3.59360702e-04
0.57            	airfoil	1.01042675e-05	2.57592106e-03	3.62465996e-04
0.575           	airfoil	7.02544603e-06	2.58007307e-03	3.65541186e-04
0.58            	airfoil	2.17456846e-06	2.58411229e-03	3.68613798e-04
0.585           	airfoil	9.87279844e-06	2.58804249e-03	3.71725771e-04
0.59            	airfoil	7.89897325e-06	2.59186633e-03	3.74832058e-04
0.595           	airfoil	2.16137960e-06	2.59559293e-03	3.77919721e-04
0.6             	airfoil	1.06385056e-05	2.59922518e-03	3.81008905e-04
0.605           	airfoil	6.83652873e-06	2.60276212e-03	3.84070988e-04
0.61            	airfoil	1.42949621e-05	2.60621013e-03	3.87134158e-04
0.615           	airfoil	8.68215735e-06	2.60957259e-03	3.90162980e-04
0.62            	airfoil	1.10256802e-05	2.61285232e-03	3.93178844e-04
0.625           	airfoil	5.75427259e-06	2.61605229e-03	3.96184837e-04
0.63            	airfoil	1.09293342e-05	2.62194209e-03	3.99194818e-04
0.635           	airfoil	1.62960719e-05	2.62864196e-03	4.02164043e-04
0.64            	airfoil	1.46107176e-05	2.63512367e-03	4.05094588e-04
0.645           	airfoil	9.21146694e-06	2.64139670e-03	4.07996321e-04
0.65            	airfoil	8.74097488e-06	2.64762468e-03	4.10855350e-04
0.655           	airfoil	6.48764660e-06	2.65460512e-03	4.13706016e-04
0.66            	airfoil	5.96624680e-06	2.66135716e-03	4.16562542e-04
0.665           	airfoil	8.56009156e-06	2.66789048e-03	4.19431667e-04
0.67            	airfoil	3.85344588e-06	2.67421436e-03	4.22296790e-04
0.675           	airfoil	1.44982092e-05	2.68033771e-03	4.25211759e-04
0.68            	airfoil	1.36974882e-05	2.68626897e-03	4.28083348e-04
0.685           	airfoil	9.62766732e-06	2.69201653e-03	4.30946183e-04
0.69            	airfoil	1.41484541e-05	2.69758790e-03	4.33804886e-04
0.695           	airfoil	1.29824420e-05	2.70299059e-03	4.36623142e-04
0.7             	airfoil	1.89125782e-06	2.70823172e-03	4.39399580e-04
0.705           	airfoil	1.71222824e-05	2.71331800e-03	4.42182423e-04
0.71            	airfoil	8.17861667e-06	2.71825517e-03	4.44912845e-04
0.715           	airfoil	1.52590685e-05	2.72304976e-03	4.47655133e-04
0.72            	airfoil	8.77879042e-06	2.72770714e-03	4.50364766e-04
0.725           	airfoil	1.19597088e-05	2.73223251e-03	4.53081184e-04
0.73            	airfoil	9.26955560e-06	2.73663079e-03	4.55725378e-04
0.735           	airfoil	2.32156624e-06	2.74090667e-03	4.58371393e-04
0.74            	airfoil	6.57513239e-06	2.74506421e-03	4.61039461e-04
0.745           	airfoil	1.10503958e-05	2.74910756e-03	4.63703443e-04
0.75            	airfoil	1.19277973e-05	2.75304042e-03	4.66333633e-04
0.755           	airfoil	6.33597809e-06	2.75686624e-03	4.68984480e-04
0.76            	airfoil	8.76761119e-06	2.76058833e-03	4.71576771e-04
0.765           	airfoil	4.67243186e-06	2.76420951e-03	4.74155775e-04
