# y+ ()         
# Time          	patch           	min             	max             	average         
0.005           	airfoil	1.89270315e-08	1.55367708e-05	1.25231480e-06
0.01            	airfoil	4.37093863e-06	4.36046314e-04	6.48488879e-05
0.015           	airfoil	1.22597309e-06	5.31638826e-04	4.23455811e-05
0.02            	airfoil	1.62634988e-06	2.08536744e-04	3.04941345e-05
0.025           	airfoil	5.05679652e-07	2.55238351e-04	2.93764834e-05
0.03            	airfoil	5.42007195e-07	2.77681376e-04	3.13721804e-05
0.035           	airfoil	1.18759048e-07	2.82385082e-04	3.28949337e-05
0.04            	airfoil	1.01267502e-06	2.88236213e-04	3.53519343e-05
0.045           	airfoil	3.79765922e-07	2.88103596e-04	3.77162072e-05
0.05            	airfoil	9.96417197e-07	3.10241972e-04	4.22212798e-05
0.055           	airfoil	1.32238022e-06	3.27357407e-04	4.56097211e-05
0.06            	airfoil	1.54869743e-06	3.37043528e-04	4.89899623e-05
0.065           	airfoil	7.05512134e-07	3.57467803e-04	5.23694961e-05
0.07            	airfoil	9.56169592e-07	3.63172912e-04	5.57950259e-05
0.075           	airfoil	2.59571073e-06	3.66260728e-04	5.94697609e-05
0.08            	airfoil	1.31012197e-06	3.69462564e-04	6.30961225e-05
0.085           	airfoil	2.08865400e-06	3.83074258e-04	6.72628825e-05
0.09            	airfoil	3.36217359e-06	3.93743680e-04	7.18588476e-05
0.095           	airfoil	3.13449469e-06	4.15887256e-04	7.62581390e-05
0.1             	airfoil	2.36677029e-06	4.49566372e-04	8.04138325e-05
0.105           	airfoil	6.02782907e-06	4.83666428e-04	8.44080653e-05
0.11            	airfoil	5.38558408e-06	5.18468327e-04	8.81622037e-05
0.115           	airfoil	3.98576527e-06	5.53915777e-04	9.15551711e-05
0.12            	airfoil	2.10557741e-06	5.89940198e-04	9.48417640e-05
0.125           	airfoil	1.92697811e-06	6.26536859e-04	9.78994398e-05
0.13            	airfoil	1.67377716e-06	6.63821701e-04	1.00675751e-04
0.135           	airfoil	2.69291161e-06	7.01889013e-04	1.03302394e-04
0.14            	airfoil	1.45669125e-06	7.40847047e-04	1.06022685e-04
0.145           	airfoil	5.91836144e-06	7.80823950e-04	1.10810484e-04
0.15            	airfoil	6.03156661e-06	8.21951335e-04	1.15563700e-04
0.155           	airfoil	3.68827817e-06	8.64348851e-04	1.20015237e-04
0.16            	airfoil	6.17799917e-06	9.07026289e-04	1.24082820e-04
0.165           	airfoil	6.23418069e-06	9.50562065e-04	1.27918627e-04
0.17            	airfoil	6.29354152e-06	9.95344977e-04	1.31560207e-04
0.175           	airfoil	6.30631098e-06	1.04155253e-03	1.35116878e-04
0.18            	airfoil	6.35517426e-06	1.08919515e-03	1.38810542e-04
0.185           	airfoil	6.38763306e-06	1.13818737e-03	1.42394100e-04
0.19            	airfoil	6.48964447e-06	1.18837283e-03	1.45902288e-04
0.195           	airfoil	2.36863118e-06	1.23954181e-03	1.49326278e-04
0.2             	airfoil	6.61494485e-06	1.29145219e-03	1.52784698e-04
0.205           	airfoil	6.56509063e-06	1.34380463e-03	1.56163800e-04
0.21            	airfoil	3.81841564e-06	1.39631003e-03	1.59505811e-04
0.215           	airfoil	6.44536931e-06	1.44863576e-03	1.62831850e-04
0.22            	airfoil	6.48162935e-06	1.50045748e-03	1.66161587e-04
0.225           	airfoil	6.68886665e-06	1.55148582e-03	1.69420512e-04
0.23            	airfoil	6.51614957e-06	1.60142789e-03	1.72666488e-04
0.235           	airfoil	5.78535626e-06	1.65004330e-03	1.75937988e-04
0.24            	airfoil	7.55146470e-06	1.69702808e-03	1.79139666e-04
0.245           	airfoil	6.70821118e-06	1.74215586e-03	1.82320250e-04
0.25            	airfoil	6.09748036e-06	1.78520024e-03	1.85654467e-04
0.255           	airfoil	6.31005224e-06	1.82617513e-03	1.88919187e-04
0.26            	airfoil	6.26180017e-06	1.87786392e-03	1.92213191e-04
0.265           	airfoil	6.21568785e-06	1.92850081e-03	1.95484427e-04
0.27            	airfoil	6.41883645e-06	1.97801518e-03	1.98844147e-04
0.275           	airfoil	6.41709331e-06	2.02635584e-03	2.02137680e-04
0.28            	airfoil	4.36325269e-06	2.07346888e-03	2.05531737e-04
0.285           	airfoil	6.51178587e-06	2.11931628e-03	2.08896601e-04
0.29            	airfoil	3.70928190e-06	2.16386749e-03	2.12301940e-04
0.295           	airfoil	6.63159480e-06	2.20710090e-03	2.15700448e-04
0.3             	airfoil	6.05429722e-06	2.24900023e-03	2.19109031e-04
0.305           	airfoil	6.29974127e-06	2.28955738e-03	2.22631569e-04
0.31            	airfoil	5.76532725e-06	2.32876327e-03	2.26104940e-04
0.315           	airfoil	1.93926186e-06	2.36662838e-03	2.29568567e-04
0.32            	airfoil	6.45671814e-06	2.40315716e-03	2.33025541e-04
0.325           	airfoil	5.23144073e-06	2.43835961e-03	2.36440573e-04
0.33            	airfoil	7.01517946e-06	2.47224415e-03	2.39794903e-04
0.335           	airfoil	7.74138199e-06	2.50484296e-03	2.43249236e-04
0.34            	airfoil	7.88312593e-06	2.53617299e-03	2.46683922e-04
0.345           	airfoil	8.16162956e-06	2.56625166e-03	2.50250294e-04
0.35            	airfoil	3.31791926e-06	2.59510737e-03	2.53702205e-04
0.355           	airfoil	5.22747698e-06	2.62276482e-03	2.57128445e-04
0.36            	airfoil	1.45868705e-06	2.64925524e-03	2.60596241e-04
0.365           	airfoil	2.02822340e-06	2.67460564e-03	2.64167308e-04
0.37            	airfoil	1.91200881e-06	2.69884478e-03	2.67836746e-04
0.375           	airfoil	1.32293048e-06	2.72200074e-03	2.71583932e-04
0.38            	airfoil	3.36855942e-06	2.74410198e-03	2.75408489e-04
0.385           	airfoil	4.74357170e-06	2.76517871e-03	2.79179558e-04
0.39            	airfoil	4.16167259e-06	2.78526086e-03	2.83195858e-04
0.395           	airfoil	9.50718854e-07	2.80437639e-03	2.87192034e-04
0.4             	airfoil	2.71885501e-06	2.82255643e-03	2.91192710e-04
0.405           	airfoil	5.42048606e-06	2.83983004e-03	2.95144710e-04
0.41            	airfoil	3.12532362e-06	2.85622387e-03	2.99194151e-04
0.415           	airfoil	4.89619027e-07	2.87176678e-03	3.03269564e-04
0.42            	airfoil	4.36115654e-06	2.88648799e-03	3.07304140e-04
0.425           	airfoil	4.18583376e-06	2.90041474e-03	3.11373803e-04
