# y+ ()         
# Time          	patch           	min             	max             	average         
0.43            	airfoil	3.26365437e-05	4.75770421e-03	9.04799676e-04
0.435           	airfoil	6.19632745e-06	4.77495946e-03	9.14307564e-04
0.44            	airfoil	2.96893280e-05	4.79145845e-03	9.23721813e-04
0.445           	airfoil	3.28222030e-05	4.80725734e-03	9.33019695e-04
0.45            	airfoil	2.11938675e-05	4.82241168e-03	9.42215781e-04
0.455           	airfoil	9.75197166e-06	4.83697940e-03	9.51307013e-04
0.46            	airfoil	2.39310973e-05	4.85101600e-03	9.60327798e-04
0.465           	airfoil	1.68127307e-05	4.86457139e-03	9.69250523e-04
0.47            	airfoil	2.75896884e-05	4.87769421e-03	9.78113249e-04
0.475           	airfoil	2.06210560e-05	4.89043478e-03	9.86905967e-04
0.48            	airfoil	1.85028503e-06	4.90283518e-03	9.95612657e-04
0.485           	airfoil	2.12330065e-05	4.91493609e-03	1.00427541e-03
0.49            	airfoil	3.09632005e-05	4.92677560e-03	1.01285482e-03
0.495           	airfoil	9.93629743e-06	4.93838867e-03	1.02134372e-03
0.5             	airfoil	1.17972099e-05	4.94980817e-03	1.02979956e-03
0.505           	airfoil	2.43552084e-05	4.96106444e-03	1.03818526e-03
0.51            	airfoil	2.82038191e-05	4.97218517e-03	1.04648885e-03
0.515           	airfoil	3.12523737e-05	4.98319756e-03	1.05473918e-03
0.52            	airfoil	1.87839631e-05	4.99412260e-03	1.06294660e-03
0.525           	airfoil	3.04580362e-05	5.00498360e-03	1.07112247e-03
0.53            	airfoil	1.71116518e-05	5.01579882e-03	1.07922478e-03
0.535           	airfoil	2.27909580e-05	5.02658299e-03	1.08727410e-03
0.54            	airfoil	3.53580312e-05	5.03735482e-03	1.09526875e-03
0.545           	airfoil	4.22970875e-05	5.04812568e-03	1.10322470e-03
0.55            	airfoil	5.48088758e-06	5.05890232e-03	1.11111007e-03
0.555           	airfoil	2.86605742e-05	5.06969424e-03	1.11899859e-03
0.56            	airfoil	3.47392864e-05	5.08050722e-03	1.12685315e-03
0.565           	airfoil	1.27370415e-05	5.09134470e-03	1.13465466e-03
0.57            	airfoil	6.27241860e-05	5.10220821e-03	1.14248850e-03
0.575           	airfoil	4.34330674e-05	5.11309754e-03	1.15022473e-03
0.58            	airfoil	3.15701887e-05	5.12401130e-03	1.15792947e-03
0.585           	airfoil	3.42421672e-05	5.13494563e-03	1.16561407e-03
0.59            	airfoil	2.18463581e-05	5.14589912e-03	1.17332522e-03
0.595           	airfoil	2.86874929e-05	5.15686581e-03	1.18106096e-03
0.6             	airfoil	2.97845210e-05	5.16784019e-03	1.18877019e-03
0.605           	airfoil	2.84053019e-05	5.17881683e-03	1.19642987e-03
0.61            	airfoil	1.06194309e-05	5.18978964e-03	1.20405670e-03
0.615           	airfoil	4.22765894e-05	5.20075275e-03	1.21180275e-03
0.62            	airfoil	3.37460013e-05	5.21169997e-03	1.21952641e-03
0.625           	airfoil	5.19259876e-05	5.22262539e-03	1.22726131e-03
0.63            	airfoil	2.21933131e-05	5.23352284e-03	1.23496446e-03
0.635           	airfoil	2.20960410e-05	5.24438668e-03	1.24274972e-03
0.64            	airfoil	2.50082436e-05	5.25521131e-03	1.25067537e-03
0.645           	airfoil	3.44175146e-05	5.26597451e-03	1.25874163e-03
0.65            	airfoil	1.21095313e-05	5.27505136e-03	1.26676014e-03
0.655           	airfoil	5.37407773e-05	5.27937326e-03	1.27464191e-03
0.66            	airfoil	3.38613798e-05	5.27773583e-03	1.28215072e-03
0.665           	airfoil	3.84124151e-05	5.27078663e-03	1.28918324e-03
0.67            	airfoil	4.78051252e-05	5.26022239e-03	1.29573610e-03
0.675           	airfoil	1.80677514e-05	5.24793120e-03	1.30196073e-03
0.68            	airfoil	6.10311904e-05	5.23572689e-03	1.30794121e-03
0.685           	airfoil	1.94157784e-05	5.23620676e-03	1.31376635e-03
0.69            	airfoil	4.26027649e-05	5.23657556e-03	1.31956655e-03
0.695           	airfoil	2.01487260e-05	5.23720532e-03	1.32557009e-03
0.7             	airfoil	2.30609770e-05	5.23836315e-03	1.33171199e-03
0.705           	airfoil	1.98294067e-05	5.24022934e-03	1.33797879e-03
0.71            	airfoil	3.72160181e-05	5.24292142e-03	1.34450031e-03
