# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.005         	smoothSolver	1.000000e+00	8.432080e-02	3	1.000000e+00	8.372120e-02	3	false	GAMG	1.000000e+00	9.325910e-03	10	true
0.01          	smoothSolver	1.428340e-01	9.162710e-03	6	2.266920e-01	1.460410e-02	5	false	GAMG	1.129400e-02	8.335890e-05	11	true
0.015         	smoothSolver	1.860390e-02	1.379380e-03	5	7.478720e-02	6.469590e-03	4	false	GAMG	8.010950e-02	7.828940e-04	5	true
0.02          	smoothSolver	7.889840e-03	5.726780e-04	5	3.983840e-02	3.146300e-03	5	false	GAMG	1.378840e-01	8.694960e-04	5	true
0.025         	smoothSolver	5.810050e-03	4.974390e-04	5	3.291220e-02	2.923440e-03	5	false	GAMG	1.110190e-01	5.795350e-04	5	true
0.03          	smoothSolver	4.900170e-03	4.571560e-04	5	2.971930e-02	2.768300e-03	5	false	GAMG	9.950430e-02	5.280010e-04	5	true
0.035         	smoothSolver	4.452920e-03	4.330490e-04	5	2.714060e-02	2.618140e-03	5	false	GAMG	8.760810e-02	5.003900e-04	5	true
0.04          	smoothSolver	4.196150e-03	4.151820e-04	5	2.493600e-02	2.472840e-03	5	false	GAMG	7.673010e-02	4.998160e-04	5	true
0.045         	smoothSolver	4.002940e-03	3.998220e-04	5	2.325070e-02	1.487430e-03	6	false	GAMG	6.856440e-02	5.168330e-04	5	true
0.05          	smoothSolver	3.877960e-03	2.458640e-04	6	2.176490e-02	1.402670e-03	6	false	GAMG	6.177410e-02	5.205620e-04	5	true
0.055         	smoothSolver	3.734020e-03	2.364200e-04	6	2.089130e-02	1.355310e-03	6	false	GAMG	5.554580e-02	4.994440e-04	5	true
0.06          	smoothSolver	3.611410e-03	2.290270e-04	6	1.999400e-02	1.299020e-03	6	false	GAMG	5.017550e-02	4.637560e-04	5	true
0.065         	smoothSolver	3.479400e-03	2.227180e-04	6	1.917840e-02	1.244410e-03	6	false	GAMG	4.619550e-02	4.333200e-04	5	true
0.07          	smoothSolver	3.369240e-03	2.174470e-04	6	1.850620e-02	1.193430e-03	6	false	GAMG	4.402280e-02	4.171890e-04	5	true
0.075         	smoothSolver	3.286510e-03	2.132210e-04	6	1.787230e-02	1.148080e-03	6	false	GAMG	4.218370e-02	3.991750e-04	5	true
0.08          	smoothSolver	3.221090e-03	2.093280e-04	6	1.731930e-02	1.109090e-03	6	false	GAMG	4.057950e-02	3.840130e-04	5	true
0.085         	smoothSolver	3.165850e-03	2.058900e-04	6	1.679170e-02	1.076270e-03	6	false	GAMG	3.889670e-02	3.741140e-04	5	true
0.09          	smoothSolver	3.108210e-03	2.027980e-04	6	1.634400e-02	1.048720e-03	6	false	GAMG	3.735290e-02	3.600420e-04	5	true
0.095         	smoothSolver	3.053700e-03	1.998950e-04	6	1.596060e-02	1.026070e-03	6	false	GAMG	3.560160e-02	3.425090e-04	5	true
